userID,username,email,password,winRatio,level,onlineStatus
183828,PlayerOne,unknown1@example.com,jZae727K08KaOmKSgOaGzww/XVqGr/PKEgIMkjrcbJI=,0.7535353535353536,5,false
127647,PlayerTwo,unknown2@example.com,jZae727K08KaOmKSgOaGzww/XVqGr/PKEgIMkjrcbJI=,0.611111111111111,3,true
134546,PlayerThree,unknown3@example.com,jZae727K08KaOmKSgOaGzww/XVqGr/PKEgIMkjrcbJI=,0.625438596491228,7,false
144558,PlayerFour,unknown4@example.com,jZae727K08KaOmKSgOaGzww/XVqGr/PKEgIMkjrcbJI=,0.7055555555555556,2,false
156757,PlayerFive,unknown5@example.com,jZae727K08KaOmKSgOaGzww/XVqGr/PKEgIMkjrcbJI=,0.7595959595959596,8,false
164455,PlayerSix,unknown6@example.com,jZae727K08KaOmKSgOaGzww/XVqGr/PKEgIMkjrcbJI=,0.7394319131161237,4,false
176867,PlayerSeven,unknown7@example.com,jZae727K08KaOmKSgOaGzww/XVqGr/PKEgIMkjrcbJI=,0.7949776401788785,6,false
186567,PlayerEight,unknown8@example.com,jZae727K08KaOmKSgOaGzww/XVqGr/PKEgIMkjrcbJI=,0.9841269841269842,9,false
197676,PlayerNine,unknown9@example.com,jZae727K08KaOmKSgOaGzww/XVqGr/PKEgIMkjrcbJI=,0.19999999999999998,1,true
107632,PlayerTen,unknown10@example.com,jZae727K08KaOmKSgOaGzww/XVqGr/PKEgIMkjrcbJI=,0.943792270531401,10,false
804961,alligator,alligator@gmail.com,bzXj1puHSjMCKWbWLVmkNaTPeV4Y2PJr5RSFqNBDYnU=,0.0,0,true
136502,sarim,sarim@gmail.com,jZae727K08KaOmKSgOaGzww/XVqGr/PKEgIMkjrcbJI=,0.0,0,true
417028,tausif852,tausif@gmail.com,lsrjXOipsCRBeL8o5JZsLOG4OFcjqWprg4hYzdbKCh4=,0.0,0,true
600395,test123,test123@gmail.com,2bX1jws4GYKTlxhloUB09Z66PoJZW+y+hq5R8dnx9l4=,0.0,0,true
